A,bpp,psnr,msssim,dbcnn,liqe_score,lpips_score
ms-q1,0.14300876193576387,26.453240633010864,0.9600079779823621,0.49084530398249626,3.6089010337988534,0.27076793027420837
ms-q2,0.18178982204861108,27.081520318984985,0.9684324786067009,0.5162770102421442,4.0002991159756975,0.23622892362376055
ms-q3,0.21909247504340276,27.581409851710003,0.9740303804477056,0.5299464625616869,4.247863362232844,0.21113993289570013
ms-q4,0.2535400390625,27.953464190165203,0.977802482744058,0.5406599293152491,4.388261278470357,0.19343068978438774
ms-q5,0.3412679036458333,28.63498067855835,0.9839596673846245,0.5642492783566316,4.548332909742991,0.16407719564934573
ms-q6,0.5050794813368055,30.203563928604126,0.98964424431324,0.5986876984437307,4.711523155371348,0.1083134754250447
ms-q7,0.6764051649305555,31.278580109278362,0.9928268666068713,0.620364231367906,4.777111649513245,0.07627348229289055
ms-q8,0.9499274359809027,32.44309012095133,0.9953355044126511,0.6396519790093104,4.788028756777446,0.049933353594193854
q1,0.16871812608506942,29.90802462895711,0.9428742354114851,0.5776113147536913,3.9855412443478904,0.25643274125953514
q2,0.21092054578993058,30.69803460439046,0.9530521730581919,0.5923610230286916,4.177590777476628,0.2237196878219644
q3,0.2645907931857639,31.55971105893453,0.9619246820608774,0.6107144380609194,4.3725140790144605,0.1908104152729114
q4,0.3161146375868056,32.277802069981895,0.968045582373937,0.6229954833785692,4.501905639966329,0.16666730400174856
q5,0.46172756618923616,33.962277015050255,0.9785778746008873,0.6513133024175962,4.711731513341268,0.11830503943686684
q6,0.671145968967014,35.83666547139486,0.9855954299370447,0.672795943915844,4.7763292988141375,0.08565392469366391
q7,0.927280002170139,37.73744249343872,0.9904298558831215,0.6899904360373815,4.837021589279175,0.06166388552325467
q8,1.2444525824652777,39.58922497431437,0.9935337677598,0.7030371179183325,4.854231019814809,0.044185378220087536
